route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_boarding
1,1,4837889,Grand Central Terminal - Croton Harmon,781,0,,12,1
1,1,4837888,Croton Harmon - Grand Central Terminal,778,1,,1,1
1,1,4837887,Grand Central Terminal - Croton Harmon,775,0,,12,1
1,1,4838872,Croton Harmon - Grand Central Terminal,740,1,,1,1
2,1,4838870,Grand Central Terminal - North White Plains,555,0,,14,1
2,1,4838869,Grand Central Terminal - North White Plains,551,0,,14,1
1,1,4838866,Grand Central Terminal - Greystone,469,0,,12,1
1,1,4838865,Grand Central Terminal - Greystone,457,0,,12,1
2,1,4838863,Grand Central Terminal - North White Plains,539,0,,14,1
2,1,4838862,Grand Central Terminal - North White Plains,533,0,,14,1
1,1,4838861,Grand Central Terminal - Croton Harmon,797,0,,12,1
1,1,4838860,Croton Harmon - Grand Central Terminal,796,1,,1,1
2,1,4838857,North White Plains - Grand Central Terminal,306,1,,3,1
2,1,4838854,North White Plains - Grand Central Terminal,598,1,,3,1
2,1,4838851,North White Plains - Grand Central Terminal,502,1,,3,1
2,1,4838822,Southeast - Grand Central Terminal,686,1,,3,1
2,1,4838821,Grand Central Terminal - Southeast,685,0,,14,1
2,1,4838820,Mount Kisco - Grand Central Terminal,684,1,,3,1
2,1,4838819,Southeast - Grand Central Terminal,680,1,,3,1
2,1,4838812,Grand Central Terminal - Southeast,655,0,,14,1
2,1,4838778,Grand Central Terminal - North White Plains,529,0,,14,1
2,1,4838769,Grand Central Terminal - North White Plains,523,0,,14,1
1,1,4838762,Grand Central Terminal - Croton Harmon,757,0,,12,1
1,1,4838761,Grand Central Terminal - Croton Harmon,755,0,,12,1
1,1,4838760,Croton Harmon - Grand Central Terminal,754,1,,1,1
2,1,4838754,Grand Central Terminal - North White Plains,509,0,,14,1
2,1,4838753,Grand Central Terminal - North White Plains,505,0,,14,1
1,1,4838752,Croton Harmon - Grand Central Terminal,724,1,,1,1
1,1,4838751,Grand Central Terminal - Croton Harmon,701,0,,12,1
2,1,4838750,Grand Central Terminal - Southeast,699,0,,14,1
2,1,4838749,Southeast - Grand Central Terminal,694,1,,3,1
1,1,4838745,Croton Harmon - Grand Central Terminal,782,1,,1,1
1,1,4838744,Croton Harmon - Grand Central Terminal,772,1,,1,1
1,1,4838743,Grand Central Terminal - Croton Harmon,745,0,,12,1
1,1,4838742,Croton Harmon - Grand Central Terminal,742,1,,1,1
1,1,4838741,Tarrytown - Grand Central Terminal,718,1,,1,1
2,1,4838740,Grand Central Terminal - North White Plains,553,0,,14,1
2,1,4838739,North White Plains - Grand Central Terminal,552,1,,3,1
1,1,4838738,Grand Central Terminal - Greystone,485,0,,12,1
1,1,4838737,Greystone - Grand Central Terminal,440,1,,1,1
1,1,4838735,Grand Central Terminal - Croton Harmon,713,0,,12,1
2,1,4838731,Crestwood - Grand Central Terminal,316,1,,3,1
2,1,4838729,North White Plains - Grand Central Terminal,520,1,,3,1
2,1,4838728,Grand Central Terminal - North White Plains,517,0,,14,1
2,1,4838726,Southeast - Grand Central Terminal,606,1,,3,1
2,1,4838720,Grand Central Terminal - North White Plains,595,0,,14,1
2,1,4838719,North White Plains - Grand Central Terminal,584,1,,3,1
2,1,4838706,North White Plains - Grand Central Terminal,562,1,,3,1
2,1,4838693,Grand Central Terminal - Southeast,653,0,,14,1
2,1,4838692,Mount Kisco - Grand Central Terminal,650,1,,3,1
2,1,4838683,Golden's Bridge - Grand Central Terminal,618,1,,3,1
2,1,4838682,North White Plains - Grand Central Terminal,594,1,,3,1
2,1,4838679,North White Plains - Grand Central Terminal,586,1,,3,1
2,1,4838668,Grand Central Terminal - North White Plains,559,0,,14,1
2,1,4838666,Grand Central Terminal - North White Plains,545,0,,14,1
1,1,4838655,Croton Harmon - Grand Central Terminal,766,1,,1,1
1,1,4838647,Grand Central Terminal - Croton Harmon,735,0,,12,1
1,1,4838644,Grand Central Terminal - Croton Harmon,783,0,,12,1
1,1,4838640,Grand Central Terminal - Croton Harmon,703,0,,12,1
1,1,4838637,Croton Harmon - Grand Central Terminal,750,1,,1,1
1,1,4838636,Grand Central Terminal - Croton Harmon,715,0,,12,1
2,1,4838635,Grand Central Terminal - North White Plains,557,0,,14,1
1,1,4838632,Grand Central Terminal - Greystone,461,0,,12,1
2,1,4838631,Southeast - Grand Central Terminal,690,1,,3,1
1,1,4838630,Grand Central Terminal - Croton Harmon,709,0,,12,1
1,1,4838629,Grand Central Terminal - Croton Harmon,705,0,,12,1
1,1,4838628,Croton Harmon - Grand Central Terminal,704,1,,1,1
2,1,4838627,Grand Central Terminal - North White Plains,537,0,,14,1
2,1,4838626,North White Plains - Grand Central Terminal,536,1,,3,1
2,1,4838624,Mount Kisco - Grand Central Terminal,636,1,,3,1
1,1,4838623,Grand Central Terminal - Croton Harmon,791,0,,12,1
1,1,4838622,Grand Central Terminal - Croton Harmon,787,0,,12,1
2,1,4838620,Crestwood - Grand Central Terminal,522,1,,3,1
2,1,4838617,Crestwood - Grand Central Terminal,314,1,,3,1
2,1,4838615,Grand Central Terminal - North White Plains,607,0,,14,1
2,1,4838611,Grand Central Terminal - North White Plains,501,0,,14,1
2,1,4838608,North White Plains - Grand Central Terminal,596,1,,3,1
2,1,4838607,North White Plains - Grand Central Terminal,580,1,,3,1
2,1,4838605,North White Plains - Grand Central Terminal,578,1,,3,1
2,1,4838583,Grand Central Terminal - Southeast,675,0,,14,1
2,1,4838580,Grand Central Terminal - Southeast,651,0,,14,1
2,1,4838574,Grand Central Terminal - Southeast,617,0,,14,1
2,1,4838557,Grand Central Terminal - North White Plains,547,0,,14,1
2,1,4838550,Grand Central Terminal - North White Plains,541,0,,14,1
1,1,4838539,Croton Harmon - Grand Central Terminal,768,1,,1,1
1,1,4838526,Grand Central Terminal - Croton Harmon,719,0,,12,1
1,1,4838524,Croton Harmon - Grand Central Terminal,738,1,,1,1
1,1,4838521,Tarrytown - Grand Central Terminal,442,1,,1,1
1,1,4838520,Tarrytown - Grand Central Terminal,436,1,,1,1
2,1,4838519,Grand Central Terminal - Southeast,693,0,,14,1
2,1,4838518,Southeast - Grand Central Terminal,664,1,,3,1
1,1,4838517,Grand Central Terminal - Croton Harmon,707,0,,12,1
2,1,4838514,Crestwood - Grand Central Terminal,334,1,,3,1
2,1,4838512,Southeast - Grand Central Terminal,660,1,,3,1
2,1,4838511,Southeast - Grand Central Terminal,638,1,,3,1
2,1,4838510,Southeast - Grand Central Terminal,634,1,,3,1
1,1,4838509,Grand Central Terminal - Croton Harmon,785,0,,12,1
2,1,4838502,North White Plains - Grand Central Terminal,582,1,,3,1
2,1,4838485,Mount Kisco - Grand Central Terminal,688,1,,3,1
2,1,4838484,Southeast - Grand Central Terminal,682,1,,3,1
2,1,4838472,Grand Central Terminal - Mount Kisco,643,0,,14,1
2,1,4838465,Grand Central Terminal - Southeast,615,0,,14,1
2,1,4838464,Southeast - Grand Central Terminal,614,1,,3,1
2,1,4838427,Grand Central Terminal - North White Plains,525,0,,14,1
1,1,4838419,Croton Harmon - Grand Central Terminal,730,1,,1,1
1,1,4838412,Grand Central Terminal - Croton Harmon,727,0,,12,1
2,1,4838411,Southeast - Grand Central Terminal,696,1,,3,1
1,1,4838407,Croton Harmon - Grand Central Terminal,774,1,,1,1
1,1,4838406,Grand Central Terminal - Croton Harmon,749,0,,12,1
1,1,4838405,Croton Harmon - Grand Central Terminal,744,1,,1,1
2,1,4838346,Grand Central Terminal - Mount Kisco,657,0,,14,1
2,1,4838345,Southeast - Grand Central Terminal,652,1,,3,1
2,1,4838344,Southeast - Grand Central Terminal,644,1,,3,1
2,1,4838337,Southeast - Grand Central Terminal,608,1,,3,1
2,1,4838326,Grand Central Terminal - North White Plains,589,0,,14,1
2,1,4838325,Grand Central Terminal - North White Plains,585,0,,14,1
2,1,4838311,North White Plains - Grand Central Terminal,558,1,,3,1
2,1,4838310,North White Plains - Grand Central Terminal,548,1,,3,1
2,1,4838301,North White Plains - Grand Central Terminal,540,1,,3,1
2,1,4838300,Grand Central Terminal - North White Plains,531,0,,14,1
1,1,4838295,Croton Harmon - Grand Central Terminal,770,1,,1,1
1,1,4838286,Croton Harmon - Grand Central Terminal,758,1,,1,1
1,1,4838285,Grand Central Terminal - Croton Harmon,733,0,,12,1
1,1,4838284,Grand Central Terminal - Croton Harmon,731,0,,12,1
1,1,4838280,Croton Harmon - Grand Central Terminal,784,1,,1,1
1,1,4838274,Croton Harmon - Grand Central Terminal,700,1,,1,1
2,1,4838273,Grand Central Terminal - Southeast,695,0,,14,1
1,1,4838271,Grand Central Terminal - Croton Harmon,779,0,,12,1
1,1,4838270,Croton Harmon - Grand Central Terminal,746,1,,1,1
1,1,4838269,Grand Central Terminal - Croton Harmon,743,0,,12,1
1,1,4838268,Croton Harmon - Grand Central Terminal,714,1,,1,1
1,1,4838266,Tarrytown - Grand Central Terminal,446,1,,1,1
2,1,4838265,Mount Kisco - Grand Central Terminal,672,1,,3,1
2,1,4838264,Southeast - Grand Central Terminal,670,1,,3,1
